2022-05-15 19:05:49 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 19:05:732 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 19:05:90 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3105f5863a6079f49d123fc139f599ad)] -> link text: Log in]
2022-05-15 19:05:126 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (3105f5863a6079f49d123fc139f599ad)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 19:05:119 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 19:05:354 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8ac6f9f847d02966cc1d80e6a3e8a66c)] -> link text: Log in]
2022-05-15 19:05:422 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 19:05:267 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 19:05:120 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (7c054a772329ce786040dbf9a27da3d8)] -> link text: Log in]
2022-05-15 19:05:151 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (7c054a772329ce786040dbf9a27da3d8)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 19:05:810 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 19:05:898 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (77f1c25b54796c7cf5665e15522609c0)] -> link text: Log in]
2022-05-16 00:05:872 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:768 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (de706bb0e18532c4e26a5506c990d1c4)] -> link text: Log in]
2022-05-16 00:05:789 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (de706bb0e18532c4e26a5506c990d1c4)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-16 00:05:434 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:309 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8c0df3e60b99d45a8ec0d9bcf8e97458)] -> link text: Log in]
2022-05-16 00:05:330 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (8c0df3e60b99d45a8ec0d9bcf8e97458)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-16 00:05:832 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:535 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (66a26b07e00ed17e34448107753737b2)] -> link text: Log in]
2022-05-16 00:05:556 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (66a26b07e00ed17e34448107753737b2)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-16 00:05:267 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 00:05:282 INFO  HomePage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f8afaedec3116c024c7757d80b96c293)] -> link text: Log in]
